IDs	UKB_1001	UKB_1002	UKB_1003	UKB_1004	UKB_1005	UKB_1006	UKB_1007	UKB_1008	UKB_1009	UKB_1010	UKB_1011	UKB_1012
CEACAM5	5.23	3.45	6.78	6.12	3.23	5.89	6.45	3.12	7.01	6.23	3.56	5.67
CA125	3.45	2.34	4.21	4.56	2.11	3.89	4.78	2.45	4.92	4.34	2.67	3.78
AFP	2.11	1.89	2.34	2.67	1.78	2.12	2.89	1.92	2.98	2.45	2.01	2.23
MMP7	4.67	3.12	5.34	5.89	2.98	4.67	6.01	3.34	6.12	5.45	3.45	4.89
IL6	6.78	4.23	7.45	8.12	4.01	6.89	7.89	4.56	8.34	7.67	4.78	7.12
VEGFA	5.12	3.67	5.89	6.34	3.45	5.45	6.67	3.89	6.89	6.12	4.01	5.78
TNF	4.34	2.89	4.89	5.23	2.67	4.23	5.56	3.12	5.78	5.01	3.23	4.56
TIMP1	5.89	4.45	6.45	6.78	4.12	5.67	7.01	4.67	7.23	6.56	4.89	6.12
MMP1	3.67	2.56	4.12	4.45	2.34	3.56	4.78	2.78	4.89	4.23	2.89	3.89
IL8	5.45	3.89	6.12	6.67	3.56	5.23	6.89	4.12	7.12	6.45	4.23	5.89
CXCL10	4.12	2.67	4.67	5.01	2.45	4.01	5.34	2.89	5.56	4.89	3.12	4.45
CCL2	4.89	3.34	5.45	5.78	3.12	4.67	6.12	3.56	6.34	5.67	3.78	5.12
OPG	3.23	2.12	3.78	4.12	1.98	3.45	4.45	2.34	4.67	3.89	2.45	3.67
HGF	5.67	4.01	6.23	6.56	3.78	5.45	6.89	4.23	7.12	6.34	4.45	5.89
ANGPT2	4.78	3.45	5.34	5.67	3.23	4.56	6.01	3.67	6.23	5.45	3.89	5.01
MIF	5.34	3.78	5.89	6.23	3.56	5.12	6.56	4.01	6.78	6.01	4.12	5.67
VEGFD	4.56	3.12	5.12	5.45	2.89	4.34	5.78	3.34	6.01	5.23	3.56	4.89
MMP12	3.89	2.45	4.34	4.67	2.23	3.67	5.01	2.67	5.23	4.45	2.78	4.12
IL10	2.67	1.78	3.12	3.45	1.56	2.45	3.78	1.89	3.89	3.23	2.01	2.89
CSF1	4.23	2.89	4.78	5.12	2.67	4.01	5.45	3.12	5.67	4.89	3.34	4.45
